life_history,Taxon,Habitat,Phylum,Class,Family,Genus,Species,Name,High_acc_temp,Low_acc_temp,Acc_window,proximity_high_acc_ctmax,Source,ctmax,ctmax_ARR,duration,latitude,longitude,Metric,ramping,abs_latitude,Latitudinal_bin,min_latitudinal_bin,Hemisphere,Abs_northern_distribution,Abs_southern_distrib,min_hemisphere_lim,max_hemisphere_lim,lat_range_size,mid_latitude,mean_env_temp,max_env_temp,Ctmax_now,TSM,time_loss_TSM_4.5,time_loss_TSM_8.5,time_gained_with_acclimation_4.5,time_gained_with_acclimation_8.5,percent_increase_TSM,Error_checked,Reference,doi,Jstor_ref,ref,url,,,,,,,,
adult,fish,marine,Chordata,Actinopterygii,Nototheniidae,Nothenia,corriceps,Notothenia corriceps,4.0,0.0,4.0,13.1,wild,17.1,0.0,7,-64,-62,crit,3.6,64,high,60.0,N,-46,-78,46,78,32,62,-0.3,1.7,17.1,15.4,850.5,462.7,0.0,0.0,0,17/02/2017,Beers and Sidell 2011,doi: 10.1086/660191,,,,,,,,,,,
adult,aquatic invertebrates,freshwater,Arthropoda,Insecta,Dytiscidae,Agabus,ramblae,Agabus ramblae,20.5,14.5,6.0,24.0,wild,44.5,0.0,7,38,-2,leth,60.0,38,mid,37.5,N,42,31,31,42,11,36,30.4,30.4,44.5,14.1,697.9,419.0,0.0,0.0,0,10/04/2017,Calosi_et_al2008,doi:10.1111/j.1365-2699.2007.01787.x,,,,,,,,,,,
adult,aquatic invertebrates,freshwater,Arthropoda,Insecta,Dytiscidae,Agabus,rufulus,Agabus rufulus,20.5,14.5,6.0,22.6,wild,43.1,0.0,7,38,-2,leth,60.0,38,mid,37.5,N,43,39,39,43,4,41,30.4,30.4,43.1,12.7,628.6,377.4,0.0,0.0,0,10/04/2017,Calosi_et_al2008,doi:10.1111/j.1365-2699.2007.01787.x,,,,,,,,,,,
adult,reptiles and amphibains,terrestrial,Chordata,Amphibia,Ascaphidae,Ascaphus,truei,Ascaphus truei,20.0,10.0,10.0,9.6,wild,29.6,0.0,8,46,-113,crit,60.0,46,mid,37.5,N,52,34,34,52,19,43,25.9,30.7,29.6,0.0,0.0,0.0,0.0,0.0,0,10/02/2017,Claussen 1973,doi: 10.1016/0300-9629(73)90377-0 ,,,,,,,,,,,
adult,aquatic invertebrates,marine,Arthropoda,Malacostraca,Sphaeromatidae,Exosphaeroma,laeviusculum,Exosphaeroma laeviusculum,7.0,3.0,4.0,31.6,wild,38.6,0.0,9,-34,19,crit,6.0,34,mid,37.5,S,-19,-34,19,34,15,27,17.4,19.8,38.6,18.9,1218.0,738.6,0.0,0.0,0,11/04/2017,Faulkner et al 2014,doi: 10.1111/1365-2435.12219,,,,,,,,,,,
adult,terrestrial arthropods,terrestrial,Arthropoda,Insecta,Blaberidae,Blaberus,discoidalis,Blaberus discoidalis,31.0,20.0,11.0,13.9,lab,44.9,0.0,7,10,116,crit,15.0,10,low,12.5,N,20,-10,0,20,20,10,31.6,41.3,44.5,3.2,196.7,118.8,0.0,0.0,0,11/04/2017,Goode 2013,,,"PhD Thesis: Effects Of Thermal Acclimation On The Critical Thermal Maxima Of The Tropical Cockroaches: Blaptica Dubia, Eublaberus Posticus And Blaberus Discoidalis (blaberidae), Eastern Kentucky University",,,,,,,,,
adult,fish,marine,Chordata,Actinopterygii,Gobiidae,Bathygobius ,soporator,Bathygobius soporator,29.0,26.0,3.0,10.7,wild,39.7,0.0,30,-24,-45,crit,1.0,23,low,12.5,S,28,-20,0,28,28,14,24.8,27.7,39.7,12.0,872.6,532.6,0.0,0.0,0,11/04/2017,Ines 2014 (MSci Thesis) Universidade de Lisboa Universidade de Lisboa,,,MSCi thesis,,,,,,,,,
adult,aquatic invertebrates,marine,Mollusca,Gastropoda,Melongenidae,Pugilina,cochlidium,Pugilina cochlidium,33.4,29.4,4.0,12.0,wild,45.4,0.0,90,1,104,crit,1.0,1,low,12.5,N,36,-12,0,36,36,18,31.0,33.0,45.4,12.4,678.2,411.9,0.0,0.0,0,,Khanh Dung unpub,-,,,,,,,,,,,
adult,terrestrial arthropods,terrestrial,Arthropoda,Insecta,Coleoptera,Bothrometopus,elongatus,Bothrometopus elongatus,15.0,7.5,7.5,22.6,wild,37.6,0.0,7,-47,37,crit,15.0,47,mid,37.5,S,-46,-47,47,46,1,47,26.4,31.3,37.6,6.3,438.4,260.4,0.0,0.0,0,14/04/2017,Klok and Chown 2003,,,"Biological journal of the Linnean Society 78, 401-414",,,,,,,,,
adult,terrestrial arthropods,terrestrial,Arthropoda,Insecta,Coleoptera,Bothrometopus,parvulus,Bothrometopus parvulus,15.0,7.5,7.5,22.7,wild,37.7,0.0,7,-47,37,crit,15.0,47,mid,37.5,S,-46,-47,47,46,1,47,26.4,31.3,37.7,6.4,445.3,264.6,0.0,0.0,0,14/04/2017,Klok and Chown 2003,,,"Biological journal of the Linnean Society 78, 401-414",,,,,,,,,
adult,terrestrial arthropods,terrestrial,Arthropoda,Insecta,Coleoptera,Ectemnorhinus,marioni,Ectemnorhinus marioni,15.0,7.5,7.5,22.0,wild,37.0,0.0,7,-47,37,crit,15.0,47,mid,37.5,S,-46,-47,47,46,1,47,26.4,31.3,37.0,5.7,396.6,235.6,0.0,0.0,0,14/04/2017,Klok and Chown 2003,,,"Biological journal of the Linnean Society 78, 401-414",,,,,,,,,
adult,terrestrial arthropods,terrestrial,Arthropoda,Insecta,Coleoptera,Palirhoeus,eatoni,Palirhoeus eatoni,15.0,7.5,7.5,21.5,wild,36.5,0.0,7,-47,37,crit,15.0,47,mid,37.5,S,-46,-53,53,46,7,50,26.4,31.3,36.5,5.2,361.8,215.0,0.0,0.0,0,14/04/2017,Klok and Chown 2003,,,"Biological journal of the Linnean Society 78, 401-414",,,,,,,,,
adult,terrestrial arthropods,terrestrial,Arthropoda,Insecta,Carabidae,Merizodus,soledadinus,Merizodus soledadinus,16.0,8.0,8.0,22.0,wild,38.0,0.0,7,49,70,crit,30.0,49,mid,37.5,N,-40,-60,40,60,20,50,28.2,33.0,38.0,5.0,142.3,92.7,0.0,0.0,0,14/04/2017,Lalouette et al 2012,doi: 10.1007/s00300-011-1096-9 ,,,,,,,,,,,
adult,aquatic invertebrates,marine,Cnidaria,Anthozoa,Actiniidae,Urticinopsis,antarctica,Urticinopsis antarctica,6.0,0.0,6.0,6.6,wild,12.6,0.0,270,-67,-68,crit,0.0,67,high,60.0,S,-62,-78,62,78,16,70,-1.0,0.3,12.6,12.3,577.9,315.2,0.0,0.0,0,14/04/2017,Morley unpub,-,,,,,,,,,,,
