tank,ID,exclude,treatment,tank_source,mass_start,mass_end,length_start,length_end,date_start,date_end,data_rwTol,time_rwTol,rwTol,swTol
1,1-YB,0,34,17,0.0694,0.0866,15.38,17.34,03.05.18,13.06.18,05.06.18,9:27,43,42.1
1,1-OY,1,34,17,0.0987,,18.03,,03.05.18,05.06.18,05.06.18,9:27,43,
1,1-GG,0,34,24,0.0459,0.0803,13.21,16.56,03.05.18,13.06.18,05.06.18,9:27,43.1,41.8
1,1-OB,0,34,20,0.0833,0.1,16.41,18.68,03.05.18,13.06.18,05.06.18,9:27,43.2,42
1,1-BG,0,34,24,0.0696,0.153,16.18,20.18,03.05.18,13.06.18,05.06.18,9:27,43.2,42.1
1,1-BP,0,34,20,0.1105,0.1125,17.49,18.01,03.05.18,13.06.18,05.06.18,9:27,43.2,42.1
1,1-PB,0,34,17,0.0621,0.1163,15.71,19.61,03.05.18,13.06.18,05.06.18,9:27,43.2,42
1,1-PG,1,34,24,0.0463,,13.3,,03.05.18,13.06.18,05.06.18,9:27,43.2,
1,1-YP,0,34,20,0.0784,0.1274,15.69,19.22,03.05.18,13.06.18,05.06.18,9:27,43.2,42.1
1,1-GB,0,34,20,0.0938,0.1301,17.04,19.2,03.05.18,13.06.18,05.06.18,9:27,43.2,42.2
1,1-YY,0,34,17,0.096,0.0998,15.7,17.2,03.05.18,13.06.18,05.06.18,9:34,42.9,42
1,1-BB,0,34,17,0.0663,0.1191,15.69,19.78,03.05.18,13.06.18,05.06.18,9:34,42.9,41.8
1,1-OG,0,34,24,0.0745,0.0773,16.2,17.17,03.05.18,13.06.18,05.06.18,9:34,43,41.9
1,1-BY,0,34,17,0.0956,0.1336,17.13,18.84,03.05.18,13.06.18,05.06.18,9:34,43.1,42.1
1,1-GP,0,34,20,0.0659,0.0825,14.8,17.15,03.05.18,13.06.18,05.06.18,9:34,43.1,42.1
1,1-YG,1,34,24,0.0408,,14.79,,03.05.18,05.06.18,05.06.18,9:34,43.1,
1,1-PY,0,34,17,0.0592,0.1579,14.96,19.59,03.05.18,13.06.18,05.06.18,9:34,43.2,42.1
1,1-OP,0,34,24,0.0939,0.0735,16.4,18.61,03.05.18,13.06.18,05.06.18,9:34,43.2,41.9
1,1-GY,1,34,17,0.0762,,15.66,,03.05.18,05.06.18,05.06.18,9:34,43.2,
1,1-PP,1,34,20,0.101,,16.19,,03.05.18,05.06.18,05.06.18,9:34,43.2,
2,2-PP,0,34,20,0.07,0.0889,15.2,17.23,03.05.18,13.06.18,05.06.18,10:21,41.7,38.5
2,2-BB,0,34,20,0.0692,0.1095,15.34,17.24,03.05.18,13.06.18,05.06.18,10:21,42.9,42
2,2-BY,0,34,17,0.0651,0.1733,15.66,20.86,03.05.18,13.06.18,05.06.18,10:21,43,42
2,2-GY,0,34,17,0.0631,0.1297,14.94,18.92,03.05.18,13.06.18,05.06.18,10:21,43.1,42
2,2-PY,0,34,17,0.0625,0.125,14.8,18.14,03.05.18,13.06.18,05.06.18,10:21,43.2,42
2,2-YY,0,34,17,0.0819,0.1375,15.75,18.5,03.05.18,13.06.18,05.06.18,10:21,43.2,42
2,2-OP,0,34,24,0.0514,0.0487,13.94,14.3,03.05.18,13.06.18,05.06.18,10:21,43.3,42
2,2-GG,0,34,24,0.0866,0.1158,17.04,19.13,03.05.18,13.06.18,05.06.18,10:21,43.3,42.1
2,2-OB,1,34,20,0.1025,,16.33,,03.05.18,05.06.18,05.06.18,10:21,43.3,
2,2-PG,1,34,24,0.0857,,17.24,,03.05.18,05.06.18,05.06.18,10:27,43.5,
2,2-BG,0,34,24,0.0701,0.1373,15.6,18.29,03.05.18,13.06.18,05.06.18,10:27,42.8,42.1
2,2-GP,0,34,20,0.0468,0.0642,16.33,15.83,03.05.18,13.06.18,05.06.18,10:27,43,41.7
2,2-YB,1,34,17,0.0741,,16.47,,03.05.18,05.06.18,05.06.18,10:27,43,
2,2-PB,0,34,20,0.1075,0.1196,17.28,18.66,03.05.18,13.06.18,05.06.18,10:27,43,42.1
2,2-BP,1,34,20,0.0594,,14.98,,03.05.18,05.06.18,05.06.18,10:27,43.2,
2,2-OY,0,34,17,0.0806,0.1391,15.99,18.38,03.05.18,13.06.18,05.06.18,10:27,43.2,41.9
2,2-OG,1,34,24,0.0702,,15.83,,03.05.18,05.06.18,05.06.18,10:27,43.2,
2,2-YG,0,34,24,0.0782,0.155,16.25,20.32,03.05.18,13.06.18,05.06.18,10:27,43.3,42.1
2,2-YP,1,34,20,0.0419,,13.44,,03.05.18,05.06.18,05.06.18,10:27,43.3,
2,2-GB,1,34,20,0.0818,,17.21,,03.05.18,05.06.18,05.06.18,10:27,43.3,
