Fish_ID,Rearing_temp,Acclimation_temp,Temp,Mass,experiment
1,25,25,36,0.0817,emersion
2,25,25,38,0.1064,emersion
3,25,25,39,0.0935,emersion
4,25,25,34,0.102,emersion
5,25,25,39,0.0999,emersion
6,25,25,39.5,0.1083,emersion
7,25,25,30,0.1051,emersion
8,25,25,38,0.1,emersion
9,25,25,39,0.1242,emersion
10,25,25,38,0.1124,emersion
11,25,25,38,0.0999,emersion
12,25,25,39,0.1145,emersion
13,25,25,39,0.0974,emersion
14,25,25,29,0.0913,emersion
15,25,25,28,0.1248,emersion
16,25,25,34,0.129,emersion
17,25,30,39,0.0727,emersion
18,25,30,32,0.0741,emersion
19,25,30,40,0.0621,emersion
20,25,30,39,0.084,emersion
21,25,30,39,0.0871,emersion
22,25,30,39,0.0701,emersion
23,25,30,36,0.0921,emersion
24,25,30,39,0.069,emersion
25,25,30,38,0.0942,emersion
26,25,30,39,0.0682,emersion
27,25,30,39,0.093,emersion
28,25,30,39,0.1142,emersion
29,30,25,32,0.1078,emersion
30,30,25,27,0.093,emersion
31,30,25,35,0.1126,emersion
32,30,25,38,0.094,emersion
33,30,25,33,0.0831,emersion
34,30,25,40,0.0828,emersion
35,30,25,39,0.096,emersion
36,30,25,31,0.0753,emersion
37,30,25,39,0.0977,emersion
38,30,25,39,0.1022,emersion
39,30,25,33,0.0906,emersion
40,30,25,39,0.0837,emersion
41,30,25,33,0.0778,emersion
42,30,25,32,0.0937,emersion
43,30,30,40,0.0707,emersion
44,30,30,38,0.0798,emersion
45,30,30,40,0.0884,emersion
46,30,30,38,0.0753,emersion
47,30,30,32,0.0894,emersion
48,30,30,38,0.0871,emersion
49,30,30,35,0.0941,emersion
50,30,30,37,0.0939,emersion
51,30,30,40,0.0818,emersion
52,25,25,40,0.0549,LOE
53,25,25,40,0.0394,LOE
54,25,25,40,0.0506,LOE
55,25,25,40.5,0.0385,LOE
56,25,25,40,0.053,LOE
57,25,25,40,0.0535,LOE
58,25,25,40,0.0541,LOE
59,25,25,40.5,0.0518,LOE
60,25,25,40.5,0.0426,LOE
61,25,25,41,0.0435,LOE
62,25,25,41,0.0392,LOE
63,25,25,41,0.0511,LOE
64,25,25,41,0.0445,LOE
65,25,25,41,0.04,LOE
66,25,25,40,0.0516,LOE
67,25,25,41,0.0556,LOE
68,25,25,40,0.0526,LOE
69,25,25,41,0.0523,LOE
70,25,30,42,0.069,LOE
71,25,30,42,0.0648,LOE
72,25,30,41.5,0.0678,LOE
73,25,30,42,0.0672,LOE
74,25,30,42.5,0.0697,LOE
75,25,30,42,0.0693,LOE
76,25,30,42,0.068,LOE
77,25,30,42,0.059,LOE
78,25,30,42,0.0644,LOE
79,25,30,41.5,0.0512,LOE
80,25,30,41.5,0.0554,LOE
81,25,30,42,0.0594,LOE
82,25,30,42.5,0.045,LOE
83,25,30,43,0.066,LOE
84,25,30,42,0.0679,LOE
85,25,30,41.5,0.0654,LOE
86,30,25,41,0.0614,LOE
87,30,25,39.5,0.0621,LOE
88,30,25,40,0.0657,LOE
89,30,25,40,0.0601,LOE
90,30,25,41,0.0767,LOE
91,30,25,40,0.0651,LOE
92,30,25,41,0.0742,LOE
93,30,25,40.5,0.0607,LOE
94,30,25,41.5,0.056,LOE
95,30,25,41,0.0668,LOE
96,30,25,40.5,0.0586,LOE
97,30,25,41.5,0.0712,LOE
98,30,25,41,0.052,LOE
99,30,25,41,0.045,LOE
100,30,30,41,0.06,LOE
101,30,30,41.5,0.0524,LOE
102,30,30,42,0.035,LOE
103,30,30,42,0.0636,LOE
104,30,30,41,0.0595,LOE
105,30,30,40.5,0.064,LOE
106,30,30,42.5,0.0531,LOE
107,30,30,42,0.0689,LOE
108,30,30,42,0.0708,LOE
109,30,30,42,0.047,LOE
110,30,30,42,0.0715,LOE
