treat,liz,date,time,ctmax,svl,mass,sex
cool,22-3,,9:55,39.5,42,2.08,F
cool,14-2,,10:04,38.5,44,2.25,F
warm,31-24,,10:12,39.5,51,3.19,M
hot,98-15,,10:21,38.5,43,2.22,F
hot,80-14,,10:28,39.5,49,3,M
warm,99-41,,10:37,39.5,43,2.04,F
cool,59-13,,10:48,39.5,43,2.12,F
cool,48-47,,10:59,37.5,42,2.05,F
warm,44-46,,11:09,38.5,50,2.91,M
warm,67-60,,11:17,40.5,44,2.1,F
cool,12-9,,11:26,39.5,44,1.71,F
warm,14-54,,11:37,38.5,47,2.38,M
cool,39-25,,11:45,40.5,48,2.49,M
hot,76-87,,11:58,39.5,46,2.48,M
warm,47-57,,12:14,38.5,47,2.48,M
cool,3-16,,13:11,37.5,50,2.76,M
hot,35-85,,13:20,38.5,43,1.93,F
cool,22-68,,13:31,38.5,41,1.64,F
cool,15-42,,13:39,39.5,42,1.87,F
warm,54-100,,13:49,38.5,51,3.18,M
warm,24-105,,13:58,37.5,47,2.37,M
cool,98-70,,14:07,37.5,44,2.12,F
cool,13-82,,14:16,38.5,49,2.68,M
hot,44-86,,14:27,38.5,42,2.02,F
cool,53-64,,14:35,39.5,40,1.74,F
cool,56-76,,14:46,39.5,48,2.72,M
warm,94-88,,14:57,39.5,41,2.09,F
hot,41-98,,15:06,37.5,41,2.06,F
cool,92-63,,15:12,38.5,47,2.49,M
cool,59-65,,15:22,37.5,49,2.66,M
cool,31-95,,9:26,39.5,43,1.96,F
cool,14-121,,9:37,38.5,46,2.26,M
warm,86-120,,9:50,39.5,37,1.26,F
warm,48-140,,10:01,39.5,44,2.6,M
hot,28-114,,10:10,38.5,44,1.87,F
hot,79-119,,10:20,40.5,47,2.46,M
warm,53-198,,10:30,38.5,42,1.83,F
warm,15-147,,10:38,38.5,45,2.35,M
hot,31-192,,10:50,37.5,45,2.19,F
cool,73-131,,11:00,39.5,46,2.54,M
warm,46-169,,11:12,37.5,39,1.49,F
hot,66-201,,11:21,37.5,53,3.92,M
hot,13-176,,11:37,38.5,42,1.85,F
warm,65-142,,11:51,38.5,46,2.43,M
warm,38-123,,12:00,37.5,42,1.87,F
hot,44-181,,13:10,40.5,48,2.65,M
cool,66-75,,13:19,38.5,47,2.68,M
warm,66-163,,13:34,38.5,43,2.13,F
hot,31-158,,13:42,39.5,46,2.25,F
hot,51-185,,13:52,39.5,40,1.7,F
hot,13-197,,14:22,39.5,45,2.06,M
cool,95-145,,14:30,40.5,45,1.97,M
warm,77-172,,14:38,38.5,50,2.85,M
warm,10-139,,14:48,39.5,43,1.96,F
hot,75-93,,14:56,38.5,43,1.87,F
warm,79-173,,15:03,41.5,42,1.83,F
