pop	devTemp	accTemp	accTime	ctmax
PE	20	20	14	36.1
PE	20	20	14	36.1
PE	20	20	14	36.3
PE	20	20	14	36.4
PE	20	20	14	36.4
PE	20	20	14	36.4
PE	20	20	14	36.5
PE	20	20	14	36.6
PE	20	20	14	36.8
PE	20	20	14	36.9
PE	20	20	14	37
PE	20	20	14	37.1
PE	20	20	14	37.2
PE	20	20	14	37.3
PE	20	20	14	37.5
PE	20	20	14	37.8
PE	20	25	14	36.2
PE	20	25	14	36.2
PE	20	25	14	36.4
PE	20	25	14	36.5
PE	20	25	14	36.7
PE	20	25	14	37
PE	20	25	14	37.1
PE	20	25	14	37.1
PE	20	25	14	37.3
PE	20	25	14	37.4
PE	20	25	14	37.4
PE	20	25	14	37.4
PE	20	25	14	37.5
PE	20	25	14	37.5
PE	20	25	14	37.5
PE	20	25	14	37.6
PE	25	20	14	35.7
PE	25	20	14	36.2
PE	25	20	14	36.2
PE	25	20	14	36.2
PE	25	20	14	36.5
PE	25	20	14	36.7
PE	25	20	14	36.7
PE	25	20	14	36.8
PE	25	20	14	36.9
PE	25	20	14	36.9
PE	25	20	14	36.9
PE	25	20	14	37
PE	25	20	14	37
PE	25	20	14	37.2
PE	25	20	14	37.2
PE	25	20	14	37.3
PE	25	25	14	37.2
PE	25	25	14	37.2
PE	25	25	14	37.3
PE	25	25	14	37.4
PE	25	25	14	37.5
PE	25	25	14	37.6
PE	25	25	14	37.6
PE	25	25	14	37.7
PE	25	25	14	37.7
PE	25	25	14	37.7
PE	25	25	14	37.8
PE	25	25	14	37.9
PE	25	25	14	37.9
PE	25	25	14	38
PE	25	25	14	38.1
SC	20	20	14	35.6
SC	20	20	14	35.7
SC	20	20	14	35.8
SC	20	20	14	35.8
SC	20	20	14	35.9
SC	20	20	14	36.2
SC	20	20	14	36.3
SC	20	20	14	36.4
SC	20	20	14	36.5
SC	20	20	14	36.5
SC	20	20	14	36.6
SC	20	20	14	36.8
SC	20	20	14	36.8
SC	20	20	14	37
SC	20	20	14	37.1
SC	20	20	14	37.1
SC	20	25	14	35.9
SC	20	25	14	36
SC	20	25	14	36.2
SC	20	25	14	36.3
SC	20	25	14	36.5
SC	20	25	14	36.5
SC	20	25	14	36.6
SC	20	25	14	36.7
SC	20	25	14	36.8
SC	20	25	14	36.9
SC	20	25	14	37.1
SC	20	25	14	37
SC	20	25	14	37.4
SC	20	25	14	37.5
SC	20	25	14	37.5
SC	20	25	14	37.6
SC	25	20	14	35.5
SC	25	20	14	35.8
SC	25	20	14	35.9
SC	25	20	14	36.4
SC	25	20	14	36.5
SC	25	20	14	36.6
SC	25	20	14	36.7
SC	25	20	14	36.7
SC	25	20	14	36.8
SC	25	20	14	37
SC	25	20	14	37.1
SC	25	20	14	37.2
SC	25	20	14	37.2
SC	25	20	14	37.3
SC	25	20	14	37.4
SC	25	20	14	37.7
SC	25	25	14	36.8
SC	25	25	14	36.9
SC	25	25	14	36.9
SC	25	25	14	37.5
SC	25	25	14	37.5
SC	25	25	14	37.7
SC	25	25	14	37.9
SC	25	25	14	38
SC	25	25	14	38.3
SC	25	25	14	38.4
SC	25	25	14	38.5
SC	25	25	14	38.5
SC	25	25	14	38.6
SC	25	25	14	38.7
SC	25	25	14	38.7
SC	25	25	14	38.9
BR	20	20	14	37.3
BR	20	20	14	37.5
BR	20	20	14	37.6
BR	20	20	14	37.7
BR	20	20	14	37.8
BR	20	20	14	37.9
BR	20	20	14	37.9
BR	20	20	14	38
BR	20	20	14	38
BR	20	20	14	38
BR	20	20	14	38.1
BR	20	20	14	38.1
BR	20	20	14	38.1
BR	20	20	14	38.1
BR	20	20	14	38.3
BR	20	20	14	38.6
BR	20	25	10	37.5
BR	20	25	10	37.6
BR	20	25	10	37.6
BR	20	25	10	37.8
BR	20	25	10	37.9
BR	20	25	10	37.9
BR	20	25	10	38
BR	20	25	10	38.1
BR	20	25	10	38.1
BR	20	25	10	38.1
BR	20	25	10	38.2
BR	20	25	10	38.3
BR	20	25	10	38.4
BR	20	25	10	38.4
BR	20	25	10	38.5
BR	20	25	10	38.5
BR	20	25	14	37.6
BR	20	25	14	37.7
BR	20	25	14	37.8
BR	20	25	14	37.8
BR	20	25	14	37.8
BR	20	25	14	37.9
BR	20	25	14	37.9
