Species,BP,ID,Tank,Rep_tank,Treatment,Rate,Time_load,Time_start,Time_end,Acc_time,Acc_time_min,Trial_time,Trial_time_h,CTmax,Date,Age,M1,M2,M3,SL,BW,logBW,BW_centred_all,Mean_BW,CI,Protein,CS,CS_date,LDH,LDH_date
A.melanopus,AM5,C3_07_0.5_01,28B,B,28,0.5,7:19:00,7:45:00,10:50:00,0:26:00,26,3:05:00,3.08,30.06,21-Sep-17,7,4.637,4.657,4.645,4.65,0.4276,-0.368962303,-8.224077714,8.651677714,0.004252838,0.314469853,0.749038,17-Apr-18,60.879598,17-Apr-18
A.melanopus,AM5,C3_07_0.5_02,30B,B,30,0.5,6:51:00,7:45:00,19:38:00,0:54:00,54,11:53:00,11.88,34.47,21-Sep-17,7,5.629,5.567,5.616,5.6,0.9226,-0.03498655,-7.729077714,,0.005253508,0.346082557,1.411681,18-Apr-18,134.362803,18-Apr-18
A.melanopus,AM5,C3_07_0.5_03,30A,A,30,0.5,6:35:00,7:45:00,17:41:00,1:10:00,70,9:56:00,9.93,33.45,21-Sep-17,7,4.771,4.812,4.779,4.79,0.4437,-0.352910571,-8.207977714,,0.004037224,0.320148623,0.859727,16-Apr-18,63.156621,16-Apr-18
A.melanopus,AM5,C3_07_0.5_04,30A,A,30,0.5,6:37:00,7:45:00,20:33:00,1:08:00,68,12:48:00,12.8,34.95,21-Sep-17,7,5.12,5.149,5.153,5.14,0.6777,-0.168962514,-7.973977714,,0.004990547,0.682786625,0.497815,1-May-18,39.889889,1-May-18
A.melanopus,AM5,C3_07_0.5_05,28B,B,28,0.5,7:20:00,7:45:00,15:34:00,0:25:00,25,7:49:00,7.82,32.32,21-Sep-17,7,4.757,4.743,4.677,4.73,0.4441,-0.352519227,-8.207577714,,0.004196598,0.417612508,0.641717,20-Apr-18,61.58606,20-Apr-18
A.melanopus,AM5,C3_07_0.5_06,30B,B,30,0.5,6:52:00,7:45:00,19:36:00,0:53:00,53,11:51:00,11.85,34.34,21-Sep-17,7,4.69,4.696,4.661,4.68,0.5106,-0.29191919,-8.141077714,,0.004981306,0.179929342,1.207522,18-Apr-18,100.764612,18-Apr-18
A.melanopus,AM5,C3_07_0.5_07,28A,A,28,0.5,7:09:00,7:45:00,13:35:00,0:36:00,36,5:50:00,5.83,31.36,21-Sep-17,7,4.339,4.407,4.349,4.37,0.2609,-0.583525921,-8.390777714,,0.003126294,0.618045942,0.223227,17-Apr-18,11.331221,17-Apr-18
A.melanopus,AM5,C3_07_0.5_08,30A,A,30,0.5,6:36:00,7:45:00,19:34:00,1:09:00,69,11:49:00,11.82,34.33,21-Sep-17,7,4.78,4.748,4.762,4.76,0.5251,-0.279757982,-8.126577714,,0.004868791,0.285386917,0.748195,20-Apr-18,98.908773,20-Apr-18
A.melanopus,AM5,C3_07_0.5_09,30B,B,30,0.5,6:53:00,7:45:00,21:02:00,0:52:00,52,13:17:00,13.28,35.11,21-Sep-17,7,4.721,4.651,4.666,4.68,0.5821,-0.235002401,-8.069577714,,0.005678845,0.475216405,0.407591,1-May-18,36.028384,1-May-18
A.melanopus,AM5,C3_07_0.5_10,28A,A,28,0.5,7:08:00,7:45:00,20:04:00,0:37:00,37,12:19:00,12.32,34.54,21-Sep-17,7,4.917,4.919,4.881,4.91,0.5018,-0.299469343,-8.149877714,,0.004239222,0.58137609,0.430442,16-Apr-18,48.838575,16-Apr-18
A.melanopus,AM5,C3_07_0.5_11,28A,A,28,0.5,7:07:00,7:45:00,20:47:00,0:38:00,38,13:02:00,13.03,35.01,21-Sep-17,7,4.978,4.952,4.912,4.95,0.5317,-0.27433334,-8.119977714,,0.004383803,0.433919987,0.551335,16-Apr-18,76.766689,16-Apr-18
A.melanopus,AM5,C3_07_0.5_12,28B,B,28,0.5,7:20:00,7:45:00,19:49:00,0:25:00,25,12:04:00,12.07,34.25,21-Sep-17,7,,,,,0.4494,-0.347366932,-8.202277714,,,0.304411763,0.568928,16-Apr-18,51.925427,16-Apr-18
A.melanopus,AM5,C3_07_1.0_01,28B,B,28,1,7:21:00,7:45:00,10:57:00,0:24:00,24,3:12:00,3.2,31.3,21-Sep-17,7,5.064,5.113,5.095,5.09,0.7634,-0.117247844,-7.888277714,,0.005788937,0.422867844,0.488894,20-Apr-18,81.365138,20-Apr-18
A.melanopus,AM5,C3_07_1.0_02,30A,A,30,1,6:44:00,7:45:00,11:49:00,1:01:00,61,4:04:00,4.07,32.56,21-Sep-17,7,4.447,4.364,4.372,4.39,0.4353,-0.361211333,-8.216377714,,0.005145115,0.523358593,0.592816,1-May-18,35.363526,1-May-18
A.melanopus,AM5,C3_07_1.0_03,30A,A,30,1,6:38:00,7:45:00,13:35:00,1:07:00,67,5:50:00,5.83,34.41,21-Sep-17,7,4.4,4.373,4.382,4.39,0.2538,-0.595508382,-8.397877714,,0.00299984,0.20070687,0.626016,16-Apr-18,19.311091,16-Apr-18
A.melanopus,AM5,C3_07_1.0_04,30B,B,30,1,6:54:00,7:45:00,15:04:00,0:51:00,51,7:19:00,7.32,35.78,21-Sep-17,7,5.034,4.988,5.052,5.02,0.811,-0.090979146,-7.840677714,,0.006410763,0.421017115,0.784258,18-Apr-18,67.026856,18-Apr-18
