temp,surv,set_time,strain,inc,fig
13,82.69449715,15,ts,10,1a
14,91.65085389,15,ts,10,1a
15,99.39278937,15,ts,10,1a
16,88.91840607,15,ts,10,1a
17,88.15939279,15,ts,10,1a
18,76.47058824,15,ts,10,1a
19,82.69449715,15,ts,10,1a
13,84.36432638,7.5,ts,10,1a
14,89.22201139,7.5,ts,10,1a
15,87.55218216,7.5,ts,10,1a
16,84.66793169,7.5,ts,10,1a
17,95.59772296,7.5,ts,10,1a
18,72.52371917,7.5,ts,10,1a
19,65.08538899,7.5,ts,10,1a
13,93.62428843,30,ts,10,1a
14,87.09677419,30,ts,10,1a
15,92.40986717,30,ts,10,1a
16,91.34724858,30,ts,10,1a
17,93.16888046,30,ts,10,1a
18,78.44402277,30,ts,10,1a
19,90.13282732,30,ts,10,1a
13,78.44402277,60,ts,10,1a
14,89.37381404,60,ts,10,1a
15,81.17647059,60,ts,10,1a
16,86.94497154,60,ts,10,1a
17,85.57874763,60,ts,10,1a
18,66.29981025,60,ts,10,1a
19,82.99810247,60,ts,10,1a
13,95.74952562,180,ts,10,1a
14,95.74952562,180,ts,10,1a
15,82.99810247,180,ts,10,1a
16,87.85578748,180,ts,10,1a
17,96.35673624,180,ts,10,1a
18,81.32827324,180,ts,10,1a
19,83.60531309,180,ts,10,1a
13,81.93548387,720,ts,10,1a
14,88.31119545,720,ts,10,1a
15,97.72296015,720,ts,10,1a
16,70.85388994,720,ts,10,1a
17,74.19354839,720,ts,10,1a
18,71.61290323,720,ts,10,1a
19,51.57495256,720,ts,10,1a
13,99.39278937,1440,ts,10,1a
14,98.33017078,1440,ts,10,1a
15,100.1518027,1440,ts,10,1a
16,79.96204934,1440,ts,10,1a
17,35.028463,1440,ts,10,1a
18,49.14611006,1440,ts,10,1a
19,20.91081594,1440,ts,10,1a
13,86.0341556,360,ts,10,1a
14,92.40986717,360,ts,10,1a
15,98.9373814,360,ts,10,1a
16,89.82922201,360,ts,10,1a
17,78.29222011,360,ts,10,1a
18,62.35294118,360,ts,10,1a
19,45.5028463,360,ts,10,1a
13,85.95194085,7.5,ng,10,1b
14,85.50831793,7.5,ng,10,1b
15,94.38077634,7.5,ng,10,1b
16,84.9168207,7.5,ng,10,1b
17,91.57116451,7.5,ng,10,1b
18,83.58595194,7.5,ng,10,1b
19,70.72088725,7.5,ng,10,1b
13,100.1478743,15,ng,10,1b
14,96.74676525,15,ng,10,1b
15,82.84658041,15,ng,10,1b
16,76.04436229,15,ng,10,1b
17,72.64325323,15,ng,10,1b
18,78.70609982,15,ng,10,1b
19,66.72828096,15,ng,10,1b
13,85.95194085,30,ng,10,1b
14,94.82439926,30,ng,10,1b
15,77.07948244,30,ng,10,1b
16,82.99445471,30,ng,10,1b
17,91.4232902,30,ng,10,1b
18,76.34011091,30,ng,10,1b
19,87.57855823,30,ng,10,1b
13,82.84658041,60,ng,10,1b
14,89.05730129,60,ng,10,1b
15,78.4103512,60,ng,10,1b
16,88.17005545,60,ng,10,1b
17,70.27726433,60,ng,10,1b
18,62.73567468,60,ng,10,1b
19,38.78003697,60,ng,10,1b
13,91.86691312,180,ng,10,1b
14,72.05175601,180,ng,10,1b
15,71.46025878,180,ng,10,1b
16,66.58040665,180,ng,10,1b
17,70.72088725,180,ng,10,1b
18,71.9038817,180,ng,10,1b
19,77.67097967,180,ng,10,1b
13,91.12754159,360,ng,10,1b
14,77.81885397,360,ng,10,1b
15,82.84658041,360,ng,10,1b
16,94.38077634,360,ng,10,1b
17,75.89648799,360,ng,10,1b
18,47.50462107,360,ng,10,1b
19,61.70055453,360,ng,10,1b
13,91.4232902,720,ng,10,1b
14,89.79667283,720,ng,10,1b
15,68.65064695,720,ng,10,1b
16,69.39001848,720,ng,10,1b
17,46.91312384,720,ng,10,1b
18,65.69316081,720,ng,10,1b
19,17.63401109,720,ng,10,1b
13,82.6987061,1440,ng,10,1b
14,86.83918669,1440,ng,10,1b
15,84.32532348,1440,ng,10,1b
16,84.47319778,1440,ng,10,1b
17,89.64879852,1440,ng,10,1b
18,24.43622921,1440,ng,10,1b
19,0.036968577,1440,ng,10,1b
13,82.96943231,7.5,ts,10,1c
14,80.7860262,7.5,ts,10,1c
15,78.02037846,7.5,ts,10,1c
16,81.65938865,7.5,ts,10,1c
17,90.24745269,7.5,ts,10,1c
18,91.41193595,7.5,ts,10,1c
19,80.64046579,7.5,ts,10,1c
