"","lizardID","parentPairID","population","incTemp","oneMonthCTmin","oneMonthCTmax","adultCTmin","adultCTmax"
"1","f1-412",179,"HR-HR",23,13.7,39.3,12.7,38.6
"2","f1-434",179,"HR-HR",26,11.6,39.5,11.8,37.9
"3","f1-437",179,"HR-HR",26,12,38.6,11.8,38.4
"4","f1-449",179,"HR-HR",23,12.5,38.7,11.9,39.1
"5","f1-395",184,"HR-HR",23,13.3,39.5,13.7,39.1
"6","f1-365",184,"HR-HR",26,13.3,38.4,13,38.9
"7","f1-451",184,"HR-HR",23,13,39.3,12.6,38.9
"8","f1-443",185,"HR-HR",23,12.3,40.2,12.9,39.2
"9","f1-222",111,"HR-HR",26,13.3,37.3,14,39.2
"10","f1-221",111,"HR-HR",26,12.7,38.8,13.1,39.6
"11","f1-266",111,"HR-HR",23,13.9,36.8,11.8,38.8
"12","f1-257",111,"HR-HR",26,14.8,39.3,12.5,39.1
"13","f1-110",12,"HR-HR",26,14.7,37.2,13.4,39.2
"14","f1-144",12,"HR-HR",23,11.8,37.4,12.5,39.8
"15","f1-226",12,"HR-HR",26,13.6,37.9,12.7,37.4
"16","f1-241",12,"HR-HR",23,13,38.1,13,39.2
"17","f1-318",127,"HR-HR",26,12.7,40.2,13.3,39.7
"18","f1-319",130,"HR-HR",26,13.5,37.9,11.8,38.9
"19","f1-333",130,"HR-HR",23,12.9,39.3,13.1,39.1
"20","f1-273",160,"HR-HR",26,13.6,38.5,13.1,39.2
"21","f1-274",160,"HR-HR",26,13.5,38,12.4,38.5
"22","f1-324",160,"HR-HR",26,12.2,38.9,12.4,39.7
"23","f1-442",175,"HR-HR",23,12.7,38.2,11.8,39.6
"24","f1-415",175,"HR-HR",23,12.9,39.4,11.7,39.1
"25","f1-440",175,"HR-HR",23,12.7,39,12.2,37.3
"26","f1-342",176,"HR-HR",26,13,38.9,12.8,38.7
"27","f1-376",176,"HR-HR",23,14.2,39.5,13.1,38.6
"28","f1-475",176,"HR-HR",23,13.9,38.3,12.9,38.8
"29","f1-370",177,"HR-HR",26,13.4,38.8,12.4,39.8
"30","f1-417",185,"HR-HR",26,12.6,37.9,12.8,38.7
"31","f1-419",185,"HR-HR",26,11.7,38.8,12,39
"32","f1-375",213,"HR-HR",23,14.2,39.7,13.1,39.2
"33","f1-441",213,"HR-HR",23,13.2,36.4,11.9,38.7
"34","f1-422",226,"HR-HR",23,12.3,39.5,12.4,39.3
"35","f1-387",226,"HR-HR",26,14.1,38.6,13.5,39.5
"36","f1-386",226,"HR-HR",26,13.4,38.9,12.7,39.3
"37","f1-483",226,"HR-HR",23,12.4,37,12.6,39.2
"38","f1-191",23,"HR-HR",26,12.8,37.3,12.3,38.3
"39","f1-190",23,"HR-HR",26,12.5,38.4,13.2,39.2
"40","f1-200",23,"HR-HR",23,12.9,40,12.5,38.7
"41","f1-435",233,"HR-HR",23,12.1,39,12.2,39.5
"42","f1-388",234,"HR-HR",26,13.5,37.8,10.6,38.8
"43","f1-416",234,"HR-HR",23,12,38,11.9,39.2
"44","f1-418",234,"HR-HR",23,13.2,37.7,11.8,39.3
"45","f1-484",236,"HR-HR",23,12.7,38.8,12.7,39.4
"46","f1-377",255,"HR-HR",23,13.4,39.3,13.1,37.8
"47","f1-477",259,"HR-HR",23,13.6,37.9,12.4,39.6
"48","f1-168",27,"HR-HR",23,13.3,38.6,13.2,39.8
"49","f1-203",27,"HR-HR",26,12.7,40.6,13.2,39.7
"50","f1-212",27,"HR-HR",23,13.6,39.5,12.8,39.4
"51","f1-436",281,"HR-HR",23,12.2,38.9,11.9,39.2
"53","f1-220",29,"HR-HR",26,12.9,38.2,12.3,38.4
"54","f1-230",29,"HR-HR",23,12.7,40.3,11.5,39.2
"55","f1-231",29,"HR-HR",23,12.4,39,12.3,38.2
"56","f1-215",33,"HR-HR",23,12.9,39.7,11.4,38
"57","f1-216",33,"HR-HR",23,12.5,38.2,12.1,38.7
"58","f1-237",33,"HR-HR",26,13.2,37.7,12,38.5
"59","f1-258",33,"HR-HR",23,14.5,37.5,11.7,39.1
"60","f1-238",33,"HR-HR",26,13.5,37.9,12,39.2
"61","f1-291",33,"HR-HR",23,13.4,39.8,12.3,38.6
"62","f1-276",33,"HR-HR",26,13.7,37.4,13,38.1
"63","f1-209",42,"HR-HR",26,13,38.2,13,39.1
"64","f1-219",42,"HR-HR",23,12.3,37.4,11.4,38.1
"65","f1-218",42,"HR-HR",23,12.6,38.5,12.1,37.4
"66","f1-264",42,"HR-HR",23,13.9,36.5,11.8,39.3
"67","f1-253",42,"HR-HR",26,13.6,37.7,13.1,38.7
"68","f1-298",42,"HR-HR",26,12.8,38.3,13.2,38.4
"69","f1-307",42,"HR-HR",23,13.1,37.6,13.6,39.3
"70","f1-306",42,"HR-HR",23,13.8,37.7,12.8,39.1
"71","f1-188",44,"HR-HR",23,13,38.7,12.4,38.7
"72","f1-244",44,"HR-HR",23,13.3,38.2,11.2,39.6
"73","f1-227",44,"HR-HR",26,13.7,37.7,12.4,37.8
"74","f1-228",44,"HR-HR",26,13.3,38.3,12.9,38.7
"75","f1-268",44,"HR-HR",26,12.7,38.6,11.7,38.7
"76","f1-321",5,"HR-HR",26,12.8,38.3,12.1,39
"77","f1-339",5,"HR-HR",23,12.8,39.7,11.7,38.7
"78","f1-175",54,"HR-HR",26,12.8,38.7,12.3,39.3
"79","f1-199",54,"HR-HR",23,13.8,38.1,13.1,39.3
"80","f1-163",66,"HR-HR",26,13.4,37.4,13.3,39.7
"81","f1-162",66,"HR-HR",26,14,38.6,12.3,38.5
"82","f1-186",66,"HR-HR",23,12.7,38.1,12.3,38.9
"83","f1-207",66,"HR-HR",23,12.5,37.7,12.7,39.3
"84","f1-205",66,"HR-HR",23,12.7,38.8,12.2,38.9
"85","f1-198",66,"HR-HR",26,12.2,38.8,12.8,38.3
"86","f1-261",66,"HR-HR",23,13.3,38,12.1,38.6
"87","f1-245",66,"HR-HR",26,13.6,37.8,12.8,38.7
"88","f1-289",66,"HR-HR",23,13.8,38.8,11.9,38.4
"89","f1-271",66,"HR-HR",26,14,37,13,38.2
"90","f1-312",66,"HR-HR",26,12,39.1,13,38.4
"91","f1-314",66,"HR-HR",26,12.7,37.5,12.2,38.6
"92","f1-252",7,"HR-HR",26,12.8,38.2,12.3,39.2
"93","f1-300",7,"HR-HR",23,13.2,38.6,12.1,37.9
"94","f1-284",7,"HR-HR",26,13.2,37.8,12.5,38.9
"95","f1-285",7,"HR-HR",26,13.2,38,12.7,38.6
"96","f1-181",71,"HR-HR",23,12.6,38,12.8,39.9
"97","f1-269",71,"HR-HR",23,12.1,37.3,12.1,39.3
"98","f1-270",71,"HR-HR",23,12.8,38.1,13.1,38.6
"99","f1-224",84,"HR-HR",23,13.2,37.2,12.8,38.7
"100","f1-210",84,"HR-HR",26,13.2,37.6,12.6,39.4
"101","f1-178",93,"HR-HR",23,12.9,37.6,13.2,39.3
"102","f1-179",93,"HR-HR",23,13,37.7,13.2,39
"103","f1-233",56,"P-P",26,13.3,39,11.8,39.5
"104","f1-247",93,"HR-HR",26,13.7,38.4,12.7,38.9
"105","f1-246",93,"HR-HR",26,13.3,38,11.8,38.6
"106","f1-263",93,"HR-HR",23,13.8,39,12.3,38.9
"107","f1-407",237,"HR-HR",26,12.7,38.9,13,38.6
"108","f1-405",238,"HR-HR",26,13,38.5,12.9,37.8
"109","f1-439",238,"HR-HR",23,12.8,37.8,12.7,39
"110","f1-447",239,"HR-HR",23,12.8,39.8,13.2,39.2
"111","f1-374",251,"HR-HR",23,13.4,39.2,12.3,39.1
"112","f1-352",251,"HR-HR",26,13.5,38.4,12.9,39.8
"113","f1-486",251,"HR-HR",23,12.3,38.3,12.7,39.5
"114","f1-485",251,"HR-HR",23,13.5,37.4,12.9,39
"115","f1-366",254,"HR-HR",26,13.4,38.4,12.8,39.8
"116","f1-371",254,"HR-HR",26,13.2,38.7,12.5,38.7
"117","f1-211",84,"HR-HR",26,11.8,38.3,13.1,39.4
"118","f1-279",84,"HR-HR",26,14.1,37.1,13.1,38.8
"119","f1-282",84,"HR-HR",26,14.3,36.8,12.5,38.4
"120","f1-295",84,"HR-HR",23,13.7,38.2,13.3,38.9
"121","f1-414",254,"HR-HR",23,12.8,38.9,11.4,39.2
"123","f1-265",103,"HR-HR",23,13.3,37.2,11.1,37.9
"124","f1-201",20,"HR-HR",26,12.3,39.6,13.2,39
"125","f1-214",63,"HR-HR",26,13.3,39.4,11.7,38.2
"126","f1-251",74,"HR-HR",23,13.2,38.4,12.6,38.6
"127","f1-202",20,"HR-HR",26,13,39.3,12.9,39.2
"128","f1-225",63,"HR-HR",23,13.3,38,13.1,38.4
"129","f1-229",74,"HR-HR",26,14.3,40.8,12,37.8
"130","f1-232",36,"HR-HR",26,12.8,38.9,12.6,38.3
"131","f1-254",103,"HR-HR",26,14.8,37.7,13,39
"132","f1-262",66,"HR-HR",23,11.6,NA,NA,39
"133","f1-193",90,"HR-HR",26,12.6,41,12.4,38.6
"134","f1-194",90,"HR-HR",26,12.2,40.1,13.2,38.4
"135","f1-109",39,"HR-HR",26,15.5,37.9,12.6,38.9
"136","f1-108",20,"HR-HR",23,14.7,37.5,13,38.9
"138","f1-187",74,"HR-HR",23,14.2,38.7,13.4,39.6
"139","f1-120",17,"HR-HR",23,13.9,38.1,13.4,38.8
"140","f1-153",107,"HR-HR",23,13.9,NA,13.5,39.1
"141","f1-136",87,"HR-HR",26,12.7,37.5,12.9,39.6
"143","f1-156",87,"HR-HR",23,13,NA,13.5,39.2
"144","f1-157",27,"HR-HR",26,14.2,NA,13.1,39
"145","f1-158",42,"HR-HR",26,13.1,NA,13,40.1
"146","f1-159",42,"HR-HR",26,14.1,NA,13.2,39.5
"147","f1-410",177,"HR-HR",23,12.8,38.7,13.3,39
"148","f1-468",247,"HR-HR",23,12.9,37.2,13.1,39.6
"149","f1-469",247,"HR-HR",23,13.1,37.4,12.8,39.3
"150","f1-432",237,"HR-HR",23,12.7,NA,13.4,38.7
"151","f1-364",214,"HR-HR",26,13,39.3,12.4,39.2
"152","f1-393",214,"HR-HR",23,14.3,38.3,12.3,38.4
"153","f1-255",103,"HR-HR",26,14.1,38.8,13.1,38.9
"156","f1-100",2,"P-P",23,13.2,NA,NA,NA
"157","f1-101",17,"HR-HR",26,14.2,37.1,NA,NA
"158","f1-102",27,"HR-HR",26,14.8,38.8,NA,NA
"163","f1-107",62,"P-P",26,14.9,38,13.5,38.4
"169","f1-115",44,"HR-HR",26,15.3,37.4,NA,NA
"172","f1-118",9,"P-P",23,14.4,37.9,NA,NA
"175","f1-121",17,"HR-HR",23,NA,NA,NA,NA
"176","f1-122",13,"HR-HR",26,13.3,NA,NA,NA
"177","f1-123",75,"P-P",26,13.6,38.1,NA,NA
"178","f1-124",96,"HR-HR",26,13.6,NA,NA,NA
"180","f1-126",62,"P-P",23,13.2,NA,NA,NA
"182","f1-128",27,"HR-HR",23,NA,NA,NA,NA
"187","f1-132",78,"HR-HR",26,13,38.4,NA,NA
"188","f1-133",96,"HR-HR",26,14.6,NA,NA,NA
"190","f1-135",107,"HR-HR",26,NA,NA,NA,NA
"192","f1-138",94,"P-P",26,14,37.5,14.1,39.3
"196","f1-141",20,"HR-HR",23,NA,NA,NA,NA
"197","f1-142",39,"HR-HR",23,NA,NA,NA,NA
"199","f1-145",44,"HR-HR",23,NA,NA,NA,NA
"201","f1-147",10,"P-P",26,NA,NA,NA,NA
"202","f1-148",13,"HR-HR",23,13,38.1,NA,NA
"206","f1-151",94,"P-P",23,NA,NA,NA,NA
"207","f1-152",75,"P-P",23,12.7,38.3,NA,NA
"216","f1-169",10,"P-P",23,12.8,37.2,12.2,39.6
"219","f1-172",84,"HR-HR",23,NA,NA,NA,NA
"225","f1-182",42,"HR-HR",23,12.3,38.6,NA,NA
"226","f1-183",66,"HR-HR",23,10.9,37.4,NA,NA
"228","f1-185",94,"P-P",26,11.9,37.9,12.1,39
"237","f1-204",33,"HR-HR",26,NA,NA,NA,NA
"238","f1-206",90,"HR-HR",23,12.8,37.5,13.3,39.3
"241","f1-213",63,"HR-HR",26,13.2,39.7,11.6,38.1
"244","f1-223",93,"HR-HR",23,12.3,38.4,12.8,39.1
"247","f1-235",62,"P-P",26,14.1,38.3,12.9,38.8
"252","f1-242",69,"HR-HR",23,13.8,37.5,12.5,39.5
"253","f1-243",27,"HR-HR",23,13.2,NA,NA,NA
"254","f1-248",90,"HR-HR",26,13.4,37.9,12.3,39.2
"257","f1-250",56,"P-P",23,13.8,37.4,NA,NA
"258","f1-259",1,"P-P",23,13.9,38.1,NA,NA
"261","f1-267",27,"HR-HR",26,NA,NA,NA,NA
"262","f1-27",7,"HR-HR",26,NA,NA,NA,NA
"264","f1-275",33,"HR-HR",26,NA,NA,NA,NA
"266","f1-278",27,"HR-HR",23,NA,NA,NA,NA
"272","f1-287",41,"P-P",26,11.5,38.5,NA,NA
