brood	temperature_raised	CT	critical_temperature	days_acclim	mass_g	length_mm	log10mass	log10length	bmi
290	21	max	42.4	3	0.03	13.6	-1.522878745	1.133538908	16.21972318
290	21	max	41	4	0.041	16.2	-1.387216143	1.209515015	15.6226185
290	21	max	42.5	4	0.058	18	-1.236572006	1.255272505	17.90123457
290	21	max	39.9	3	0.039	13.6	-1.408935393	1.133538908	21.08564014
290	21	max	42.3	3	0.039	15.5	-1.408935393	1.190331698	16.23309053
284	21	max	41	11	0.061	18.2	-1.214670165	1.260071388	18.41565028
284	21	max	41.5	10	0.024	15.3	-1.619788758	1.184691431	10.252467
284	21	max	41.3	10	0.088	21.2	-1.055517328	1.326335861	19.57992168
284	21	max	40	12	0.072	20.7	-1.142667504	1.315970345	16.80319261
278	21	max	39.2	15	0.048	15.5	-1.318758763	1.190331698	19.97918835
278	21	max	43.3	9	0.029	13.5	-1.537602002	1.130333768	15.9122085
278	21	max	42.1	7	0.026	9.9	-1.585026652	0.995635195	26.52790532
280	21	max	40.7	8	0.032	12.9	-1.494850022	1.11058971	19.2296136
281	21	max	41.3	15	0.03	14.7	-1.522878745	1.167317335	13.88310426
281	21	max	41.6	14	0.033	16.3	-1.48148606	1.212187604	12.42049004
281	21	max	41.1	9	0.053	16.9	-1.27572413	1.227886705	18.55677322
281	21	max	42	8	0.018	9.1	-1.744727495	0.959041392	21.73650525
281	21	max	42.3	7	0.016	12.8	-1.795880017	1.10720997	9.765625
281	21	max	41.6	12	0.021	13.1	-1.677780705	1.117271296	12.23704912
281	21	max	39.9	16	0.072	16.4	-1.142667504	1.214843848	26.76977989
266	21	max	42.1	10	0.03	14.3	-1.522878745	1.155336037	14.67064404
266	21	max	42.2	1	0.064	18.8	-1.193820026	1.274157849	18.10774106
265	21	max	38.9	17	0.031	14.8	-1.508638306	1.170261715	14.15266618
265	21	max	43.2	5	0.014	11.5	-1.853871964	1.06069784	10.58601134
265	21	max	42.1	12	0.028	23.2	-1.552841969	1.365487985	5.202140309
265	21	max	42.5	3	0.014	14.3	-1.853871964	1.155336037	6.846300553
300	21	max	40.5	5	0.017	12.6	-1.769551079	1.100370545	10.7079869
301	21	max	43	5	0.005	8.3	-2.301029996	0.919078092	7.257947452
226	21	min	12.4	13	NA	NA	NA	NA	NA
226	21	min	10.7	13	NA	NA	NA	NA	NA
228	21	min	13.9	2	NA	NA	NA	NA	NA
228	21	min	12.7	2	NA	NA	NA	NA	NA
226	21	min	12	14	0.183	28.1	-0.73754891	1.44870632	23.17599828
226	21	min	11.1	14	0.097	23.2	-1.013228266	1.365487985	18.02170036
228	21	min	12.8	3	0.12	17.6	-0.920818754	1.245512668	38.73966942
228	21	min	10.9	3	0.031	16	-1.508638306	1.204119983	12.109375
226	21	min	11.8	15	0.13	25.8	-0.886056648	1.411619706	19.53007632
228	21	min	18.1	4	0.013	12.2	-1.886056648	1.086359831	8.734211234
226	21	min	11.6	16	0.141	25.8	-0.850780887	1.411619706	21.18262124
228	21	min	11.7	5	0.065	18.8	-1.187086643	1.274157849	18.39067451
226	21	min	10.2	19	0.139	26.1	-0.8569852	1.416640507	20.40486781
228	21	min	10.6	8	0.06	20.3	-1.22184875	1.307496038	14.55992623
226	21	min	10.8	21	0.152	28.2	-0.818156412	1.450249108	19.11372667
228	21	min	11.7	10	0.097	23.3	-1.013228266	1.367355921	17.86733961
237	21	min	13.7	2	0.022	12.9	-1.657577319	1.11058971	13.22035935
239	21	min	14.9	1	0.061	14.9	-1.214670165	1.173186268	27.47623981
237	21	min	15.9	7	0.157	26.3	-0.804100348	1.419955748	22.69802946
239	21	min	12.8	6	0.028	13.6	-1.552841969	1.133538908	15.1384083
237	21	min	11.4	16	0.197	28.2	-0.705533774	1.450249108	24.77239575
265	21	min	12.3	1	0.009	10	-2.045757491	1	9
265	21	min	9	8	0.024	11.1	-1.619788758	1.045322979	19.4789384
265	21	min	12.2	15	0.019	13.6	-1.721246399	1.133538908	10.27249135
265	21	min	11.8	15	0.031	14.5	-1.508638306	1.161368002	14.74435196
281	21	min	10.7	13	0.012	11.2	-1.920818754	1.049218023	9.566326531
284	21	min	10.2	9	0.02	13.1	-1.698970004	1.117271296	11.6543325
281	21	min	11.9	16	0.02	12.4	-1.698970004	1.093421685	13.00728408
284	21	min	11.1	12	0.07	18.9	-1.15490196	1.276461804	19.59631589
281	21	min	9.8	22	0.087	19	-1.060480747	1.278753601	24.09972299
284	21	min	9.9	18	0.078	17.8	-1.107905397	1.250420002	24.61810377
284	21	min	10.3	23	0.17	25.6	-0.769551079	1.408239965	25.93994141
300	21	min	9.3	7	0.022	14.4	-1.657577319	1.158362492	10.6095679
290	28	max	37.5	4	0.048	16	-1.318758763	1.204119983	18.75
290	28	max	40.5	4	0.05	17.7	-1.301029996	1.247973266	15.95965399
290	28	max	41.2	3	0.019	12.1	-1.721246399	1.08278537	12.97725565
290	28	max	40.6	3	0.019	11.6	-1.721246399	1.064457989	14.12009512
290	28	max	42.2	3	0.036	14.6	-1.443697499	1.164352856	16.88872209
284	28	max	44.2	10	0.102	22.9	-0.991399828	1.359835482	19.45043001
284	28	max	44	12	0.151	22.3	-0.821023053	1.348304863	30.364576
280	28	max	42.7	5	0.017	12	-1.769551079	1.079181246	11.80555556
278	28	max	42.3	15	0.185	29.5	-0.732828272	1.469822016	21.25825912
281	28	max	42.8	15	0.099	21.7	-1.004364805	1.336459734	21.02401835
281	28	max	43.5	14	0.08	19.2	-1.096910013	1.283301229	21.70138889
281	28	max	45.8	9	0.031	10.5	-1.508638306	1.021189299	28.11791383
281	28	max	43	7	0.024	13.3	-1.619788758	1.123851641	13.56775397
281	28	max	40.5	16	0.109	19.5	-0.962573502	1.290034611	28.66535174
384	28	max	40	15	0.155	25.8	-0.809668302	1.411619706	23.28586022
266	28	max	42.3	8	0.064	17.3	-1.193820026	1.238046103	21.383942
266	28	max	42.8	10	0.11	21.7	-0.958607315	1.336459734	23.36002039
266	28	max	43.8	7	0.012	11.5	-1.920818754	1.06069784	9.073724008
266	28	max	42.8	1	0.12	24.3	-0.920818754	1.385606274	20.32210537
266	28	max	42.2	17	0.143	26.9	-0.844663963	1.42975228	19.76202651
265	28	max	41.4	17	0.134	25.3	-0.872895202	1.403120521	20.93455608
265	28	max	43.7	5	0.023	13.7	-1.638272164	1.136720567	12.25424903
265	28	max	42.3	10	0.066	19	-1.180456064	1.278753601	18.28254848
265	28	max	42.9	12	0.097	21.8	-1.013228266	1.338456494	20.41073984
265	28	max	42.6	3	0.026	10.5	-1.585026652	1.021189299	23.58276644
265	28	max	42.9	19	0.145	26.4	-0.838631998	1.421603927	20.80463728
263	28	max	39.4	5	0.066	18.3	-1.180456064	1.26245109	19.70796381
263	28	max	40.8	5	0.02	15.3	-1.698970004	1.184691431	8.5437225
263	28	max	43.2	5	0.072	11.8	-1.142667504	1.071882007	51.70927894
301	28	max	41.5	5	0.066	19.6	-1.180456064	1.292256071	17.18034152
300	28	max	41	5	0.035	15.1	-1.455931956	1.178976947	15.35020394
226	28	min	12.1	13	NA	NA	NA	NA	NA
226	28	min	12.9	13	NA	NA	NA	NA	NA
228	28	min	11.5	2	NA	NA	NA	NA	NA
228	28	min	13.9	2	NA	NA	NA	NA	NA
226	28	min	10.2	14	0.11	25.4	-0.958607315	1.404833717	17.0500341
226	28	min	11.4	14	0.091	25.1	-1.040958608	1.399673721	14.44421517
228	28	min	13.1	3	0.051	16.9	-1.292429824	1.227886705	17.85651763
228	28	min	12.6	3	0.074	18.9	-1.13076828	1.276461804	20.71610537
226	28	min	12.7	15	0.121	24.8	-0.91721463	1.394451681	19.67351717
228	28	min	12.8	4	0.05	20	-1.301029996	1.301029996	12.5
226	28	min	11.3	16	0.186	26.5	-0.730487056	1.423245874	26.48629405
228	28	min	10.6	5	0.175	21.9	-0.756961951	1.340444115	36.48797982
226	28	min	11.3	19	0.139	26.9	-0.8569852	1.42975228	19.20924255
228	28	min	11.9	8	0.101	23.8	-0.995678626	1.376576957	17.83066168
226	28	min	12.4	21	0.15	25.6	-0.823908741	1.408239965	22.88818359
228	28	min	13.2	10	0.116	24	-0.935542011	1.380211242	20.13888889
237	28	min	15.2	2	0.024	12.2	-1.619788758	1.086359831	16.12469766
239	28	min	15.9	1	0.0106	9.4	-1.974694135	0.973127854	11.99637845
237	28	min	15.8	7	0.23	23.4	-0.638272164	1.369215857	42.00452918
239	28	min	15.8	6	0.045	13.5	-1.346787486	1.130333768	24.69135802
237	28	min	12.9	16	0.236	30.8	-0.627087997	1.488550717	24.87771968
239	28	min	13	15	0.08	23.2	-1.096910013	1.365487985	14.86325803
239	28	min	13.2	15	0.088	20.5	-1.055517328	1.311753861	20.93991672
265	28	min	13.8	1	0.007	10.2	-2.15490196	1.008600172	6.728181469
265	28	min	9.5	8	0.035	28.8	-1.455931956	1.459392488	4.219714506
265	28	min	13.6	15	0.136	24.8	-0.866461092	1.394451681	22.11238293
265	28	min	12.2	15	0.089	23.3	-1.050609993	1.367355921	16.39374459
281	28	min	12.2	13	0.045	15.1	-1.346787486	1.178976947	19.73597649
284	28	min	11.9	9	0.028	14	-1.552841969	1.146128036	14.28571429
281	28	min	11.8	16	0.125	21.5	-0.903089987	1.33243846	27.04164413
284	28	min	12.4	12	0.167	27.2	-0.777283529	1.434568904	22.5724481
281	28	min	11.4	22	0.207	30.9	-0.684029655	1.489958479	21.67970591
284	28	min	12.9	18	0.135	29.4	-0.869666232	1.46834733	15.61849229
284	28	min	11.7	23	0.146	24.1	-0.835647144	1.382017043	25.13730824
300	28	min	10.7	7	0.066	19.4	-1.180456064	1.28780173	17.53640132
194	28	min	13	NA	0.086	19.7	-1.065501549	1.294466226	22.15980829
169	28	min	12	NA	0.136	27.1	-0.866461092	1.432969291	18.51826636
23	28	min	5.4	NA	0.18	28.6	-0.744727495	1.456366033	22.00596606
23	28	min	10.5	NA	0.158	28.8	-0.801342913	1.459392488	19.04899691
107	28	min	12	NA	0.267	29.6	-0.573488739	1.471291711	30.47388605
113	28	min	12.5	NA	0.076	18	-1.119186408	1.255272505	23.45679012
179	28	min	14	NA	NA	21.8	NA	1.338456494	NA
149	28	min	14	NA	0.069	16.8	-1.161150909	1.225309282	24.44727891
207	28	min	12	NA	0.043	16.7	-1.366531544	1.222716471	15.41826527
208	28	min	11.25	NA	0.057	17.8	-1.244125144	1.250420002	17.99015276
208	28	min	8.5	NA	0.043	17.9	-1.366531544	1.252853031	13.42030523
-1	28	min	6	NA	0.129	29.4	-0.88941029	1.46834733	14.92433708
-1	28	min	10.5	NA	0.114	23.2	-0.943095149	1.365487985	21.18014269
113	28	min	10.5	NA	0.106	23.2	-0.974694135	1.365487985	19.69381688
NA	28	min	9.3	NA	NA	NA	NA	NA	NA
NA	28	min	10.5	NA	NA	NA	NA	NA	NA
309	28	min	11.9	4	0.118	21.5	-0.928117993	1.33243846	25.52731206
309	28	min	12.9	4	0.048	18.5	-1.318758763	1.267171728	14.02483565
309	28	min	10.4	5	0.015	13.9	-1.823908741	1.1430148	7.763573314
309	28	min	13.3	5	0.005	11.8	-2.301029996	1.071882007	3.590922149
309	28	min	12.3	6	0.022	14.7	-1.657577319	1.167317335	10.18094313
309	28	min	12.5	6	0.005	9.9	-2.301029996	0.995635195	5.101520253
309	28	min	16.8	7	0.001	10	-3	1	1
313	28	min	13.6	1	0.028	14.9	-1.552841969	1.173186268	12.6120445
313	28	min	12.9	1	0.037	16	-1.431798276	1.204119983	14.453125
313	28	min	13.4	2	0.026	16.9	-1.585026652	1.227886705	9.103322713
313	28	min	12	2	0.036	15.2	-1.443697499	1.181843588	15.58171745
313	28	min	12.9	3	0.089	23.3	-1.050609993	1.367355921	16.39374459
313	28	min	14.1	3	0.044	16.8	-1.356547324	1.225309282	15.58956916
313	28	min	12.3	4	0.082	20.7	-1.086186148	1.315970345	19.13696936
313	28	min	12.2	4	0.049	19.3	-1.30980392	1.285557309	13.15471556
313	28	min	13.4	7	0.208	28.7	-0.681936665	1.457881897	25.25221867
313	28	min	11.4	7	0.123	26.1	-0.910094889	1.416640507	18.05610605
313	28	min	14.9	8	0.251	30.3	-0.600326279	1.481442629	27.3393676
313	28	min	12.4	8	0.179	29.8	-0.747146969	1.474216264	20.1567497
317	28	min	12	1	0.001	9.2	-3	0.963787827	1.18147448
313	28	min	12.6	9	0.176	28.5	-0.754487332	1.45484486	21.6682056
317	28	min	11	2	0.006	8.5	-2.22184875	0.929418926	8.30449827
313	28	min	12.8	10	0.137	27.3	-0.863279433	1.436162647	18.38210629
317	28	min	11.7	3	0.015	9.9	-1.823908741	0.995635195	15.30456076
313	28	min	14.7	11	0.045	15.9	-1.346787486	1.201397124	17.7999288
317	28	min	10.9	4	0.007	8.4	-2.15490196	0.924279286	9.920634921
324	28	min	14	8	0.031	18.4	-1.508638306	1.264817823	9.156427221
325	28	min	13.8	9	0.062	19.8	-1.207608311	1.29666519	15.81471278
324	28	min	13.9	10	0.122	19.4	-0.913640169	1.28780173	32.41577213
325	28	min	14.4	10	0.029	12	-1.537602002	1.079181246	20.13888889
324	28	min	12.8	14	0.142	22.65	-0.847711656	1.355068206	27.6790979
325	28	min	12.9	14	0.072	20.3	-1.142667504	1.307496038	17.47191148
324	28	min	12.2	15	0.064	20	-1.193820026	1.301029996	16
325	28	min	14.1	15	0.105	18.9	-0.978810701	1.276461804	29.39447384
324	28	min	11.1	17	0.169	27.7	-0.772113295	1.442479769	22.02557051
325	28	min	13.6	17	0.103	22.2	-0.987162775	1.346352974	20.89927766
324	28	min	11.2	18	0.183	27.6	-0.73754891	1.440909082	24.02331443
325	28	min	13.8	18	0.083	19.9	-1.080921908	1.298853076	20.95906669
290	31	max	40.1	4	0.042	15.6	-1.37675071	1.193124598	17.25838264
290	31	max	42.3	4	0.066	18.1	-1.180456064	1.257678575	20.14590519
290	31	max	41.3	3	0.039	16	-1.408935393	1.204119983	15.234375
290	31	max	40.5	3	0.044	14.6	-1.356547324	1.164352856	20.64177144
284	31	max	44	11	0.125	21.9	-0.903089987	1.340444115	26.06284273
284	31	max	42.5	10	0.069	19.8	-1.161150909	1.29666519	17.60024487
284	31	max	44	10	0.115	22.4	-0.93930216	1.350248018	22.91932398
