no.;ctmax;dev.temp;ad.temp;dev.treat;ad.treat;observer
1;40.32;19;23;const;const;paul
2;39.28;19;23;const;const;paul
3;39.98;19;23;const;const;paul
4;39.75;19;23;const;const;paul
5;40.47;19;23;const;const;jesper
6;39.62;19;23;const;const;paul
7;40.2;19;23;const;const;jesper
8;40.02;19;23;const;const;jesper
9;40.18;19;23;const;const;jesper
10;39.08;19;23;const;const;jesper
11;40.68;19;23;const;const;paul
12;40.67;19;23;const;const;paul
13;40.58;19;23;const;const;jesper
14;39.74;19;23;const;const;jesper
15;39.66;19;23;const;const;jesper
16;40.37;19;23;fluct;const;jesper
17;39.08;19;23;fluct;const;jesper
18;40.37;19;23;fluct;const;paul
19;39.25;19;23;fluct;const;jesper
20;40.22;19;23;fluct;const;paul
21;40.4;19;23;fluct;const;paul
22;40.57;19;23;fluct;const;paul
23;39.64;19;23;fluct;const;paul
24;40.53;19;23;fluct;const;paul
25;39.8;19;23;fluct;const;paul
26;39.08;19;23;fluct;const;jesper
27;39.91;19;23;fluct;const;paul
28;39.98;19;23;fluct;const;jesper
29;39.08;19;23;fluct;const;jesper
30;40.05;19;23;fluct;const;paul
31;40.43;19;23;const;fluct;jesper
32;40.45;19;23;const;fluct;jesper
33;40.2;19;23;const;fluct;jesper
34;40.42;19;23;const;fluct;paul
35;40.69;19;23;const;fluct;paul
46;40.4;19;23;fluct;fluct;paul
47;40.52;19;23;fluct;fluct;paul
48;40.68;19;23;fluct;fluct;paul
49;40.51;19;23;fluct;fluct;jesper
50;40.2;19;23;fluct;fluct;paul
51;40.15;19;23;fluct;fluct;jesper
52;40.41;19;23;fluct;fluct;jesper
53;40.58;19;23;fluct;fluct;paul
54;40.28;19;23;fluct;fluct;jesper
55;40.32;19;23;fluct;fluct;jesper
56;40.64;19;23;fluct;fluct;paul
57;40.49;19;23;fluct;fluct;paul
58;40.46;19;23;fluct;fluct;jesper
59;40.54;19;23;fluct;fluct;jesper
60;40.55;19;23;fluct;fluct;jesper
61;40.33;19;19;const;const;jesper
62;40.12;19;19;const;const;paul
63;40.1;19;19;const;const;jesper
64;40.22;19;19;const;const;paul
65;40.12;19;19;const;const;jesper
66;40.44;19;19;const;const;paul
67;40.71;19;19;const;const;jesper
68;39.44;19;19;const;const;paul
69;40.04;19;19;const;const;paul
70;39.82;19;19;const;const;paul
71;40.65;19;19;const;const;paul
72;40.36;19;19;const;const;paul
73;39.58;19;19;const;const;jesper
74;39.87;19;19;const;const;jesper
75;40.26;19;19;const;const;jesper
76;40;19;19;fluct;fluct;paul
77;40.51;19;19;fluct;fluct;paul
78;39.91;19;19;fluct;fluct;jesper
79;39.96;19;19;fluct;fluct;jesper
80;40.4;19;19;fluct;fluct;jesper
81;40.17;19;19;fluct;fluct;paul
82;40.55;19;19;fluct;fluct;paul
83;40.74;19;19;fluct;fluct;paul
84;40.06;19;19;fluct;fluct;jesper
85;39.47;19;19;fluct;fluct;paul
86;40.5;19;19;fluct;fluct;jesper
87;39.7;19;19;fluct;fluct;jesper
88;39.45;19;19;fluct;fluct;jesper
89;40.5;19;19;fluct;fluct;paul
90;40.56;19;19;fluct;fluct;jesper
