Species;Clutch;Habitat;Acclimation;CTMax
Rhinella icterica;1;AF;20;42
Rhinella icterica;1;AF;20;42.5
Rhinella icterica;1;AF;20;43
Rhinella icterica;1;AF;20;43
Rhinella icterica;1;AF;20;42
Rhinella icterica;1;AF;20;43
Rhinella icterica;1;AF;20;43
Rhinella icterica;1;AF;20;43
Rhinella icterica;1;AF;20;42
Rhinella icterica;1;AF;20;43
Rhinella icterica;1;AF;20;42
Rhinella icterica;1;AF;20;42.5
Rhinella icterica;1;AF;20;42
Rhinella icterica;1;AF;20;43
Rhinella icterica;1;AF;20;42
Rhinella icterica;1;AF;20;42
Rhinella icterica;1;AF;30;42
Rhinella icterica;1;AF;30;43
Rhinella icterica;1;AF;30;44
Rhinella icterica;1;AF;30;44
Rhinella icterica;1;AF;30;44
Rhinella icterica;1;AF;30;44
Rhinella icterica;1;AF;30;42.5
Rhinella icterica;1;AF;30;42.5
Rhinella icterica;2;AF;20;41
Rhinella icterica;2;AF;20;42
Rhinella icterica;2;AF;20;42
Rhinella icterica;2;AF;20;42
Rhinella icterica;2;AF;20;40
Rhinella icterica;2;AF;20;40
Rhinella icterica;2;AF;20;41
Rhinella icterica;2;AF;20;41
Rhinella icterica;2;AF;20;42
Rhinella icterica;2;AF;20;40
Rhinella icterica;2;AF;20;41
Rhinella icterica;2;AF;20;42
Rhinella icterica;2;AF;20;43
Rhinella icterica;2;AF;20;42
Rhinella icterica;2;AF;20;43
Rhinella icterica;2;AF;30;42
Rhinella icterica;2;AF;30;42
Rhinella icterica;2;AF;30;42
Rhinella icterica;2;AF;30;43
Rhinella icterica;2;AF;30;42
Rhinella icterica;2;AF;30;43
Rhinella icterica;2;AF;30;43
Rhinella icterica;2;AF;30;43
Rhinella icterica;2;AF;30;43
Rhinella icterica;2;AF;30;42
Rhinella icterica;2;AF;30;42
Rhinella icterica;2;AF;30;43
Rhinella icterica;2;AF;30;42
Rhinella icterica;2;AF;30;43
Rhinella ornata;3;AF;20;38
Rhinella ornata;3;AF;20;41
Rhinella ornata;3;AF;20;40
Rhinella ornata;3;AF;20;40
Rhinella ornata;3;AF;20;39
Rhinella ornata;3;AF;20;39
Rhinella ornata;3;AF;20;41
Rhinella ornata;3;AF;20;40
Rhinella ornata;3;AF;20;39
Rhinella ornata;3;AF;20;39
Rhinella ornata;3;AF;20;41
Rhinella ornata;3;AF;20;40
Rhinella ornata;3;AF;20;38
Rhinella ornata;3;AF;20;38
Rhinella ornata;3;AF;20;39
Rhinella ornata;3;AF;20;40
Rhinella ornata;3;AF;30;43
Rhinella ornata;3;AF;30;43
Rhinella ornata;3;AF;30;43
Rhinella ornata;3;AF;30;42
Rhinella ornata;3;AF;30;43
Rhinella ornata;3;AF;30;42
Rhinella ornata;3;AF;30;42
Rhinella ornata;3;AF;30;43
Rhinella ornata;3;AF;30;43
Rhinella ornata;3;AF;30;42
Rhinella ornata;3;AF;30;42
Rhinella ornata;3;AF;30;42
Rhinella ornata;3;AF;30;43
Rhinella ornata;3;AF;30;42
Rhinella ornata;3;AF;30;42
Physalaemus cuvieri;4;AF;20;40
Physalaemus cuvieri;4;AF;20;40
Physalaemus cuvieri;4;AF;20;41
Physalaemus cuvieri;4;AF;20;41
Physalaemus cuvieri;4;AF;20;40
Physalaemus cuvieri;4;AF;20;41
Physalaemus cuvieri;4;AF;20;41
Physalaemus cuvieri;4;AF;20;41
Physalaemus cuvieri;4;AF;20;39
Physalaemus cuvieri;4;AF;20;41
Physalaemus cuvieri;4;AF;20;40
Physalaemus cuvieri;4;AF;20;41
Physalaemus cuvieri;4;AF;20;40
Physalaemus cuvieri;4;AF;20;40
Physalaemus cuvieri;4;AF;20;40
Physalaemus cuvieri;4;AF;20;41
Physalaemus cuvieri;4;AF;30;41
Physalaemus cuvieri;4;AF;30;43
Physalaemus cuvieri;4;AF;30;42
Physalaemus cuvieri;4;AF;30;42
Physalaemus cuvieri;4;AF;30;42
Physalaemus cuvieri;4;AF;30;42
Physalaemus cuvieri;4;AF;30;42
Physalaemus cuvieri;4;AF;30;42
Physalaemus cuvieri;4;AF;30;42
Physalaemus cuvieri;4;AF;30;42
Physalaemus cuvieri;4;AF;30;41
Physalaemus cuvieri;4;AF;30;42
Physalaemus cuvieri;4;AF;30;42
Physalaemus cuvieri;4;AF;30;42
Physalaemus cuvieri;5;AF;20;39
Physalaemus cuvieri;5;AF;20;40
Physalaemus cuvieri;5;AF;20;39
Physalaemus cuvieri;5;AF;20;39
Physalaemus cuvieri;5;AF;20;41
Physalaemus cuvieri;5;AF;20;41
Physalaemus cuvieri;5;AF;20;40
Physalaemus cuvieri;5;AF;20;40
Physalaemus cuvieri;5;AF;20;40
Physalaemus cuvieri;5;AF;20;40
Physalaemus cuvieri;5;AF;20;40
Physalaemus cuvieri;5;AF;30;42
Physalaemus cuvieri;5;AF;30;42
Physalaemus cuvieri;5;AF;30;41.5
Physalaemus cuvieri;5;AF;30;41.5
Physalaemus cuvieri;5;AF;30;42
Physalaemus cuvieri;5;AF;30;42
Physalaemus cuvieri;5;AF;30;42
Physalaemus cuvieri;5;AF;30;42
Physalaemus cuvieri;5;AF;30;42
Physalaemus cuvieri;5;AF;30;42
Physalaemus cuvieri;5;AF;30;42
Physalaemus cuvieri;5;AF;30;42
Hyla faber;6;AF;20;41.5
Hyla faber;6;AF;20;42
Hyla faber;6;AF;20;42.5
Hyla faber;6;AF;20;42
Hyla faber;6;AF;20;42.5
Hyla faber;6;AF;20;42.5
Hyla faber;6;AF;20;41
Hyla faber;6;AF;20;42
Hyla faber;6;AF;20;43
Hyla faber;6;AF;20;43
Hyla faber;6;AF;30;42
Hyla faber;6;AF;30;43
Hyla faber;6;AF;30;43.5
Hyla faber;6;AF;30;43.5
Hyla faber;6;AF;30;43
Hyla faber;6;AF;30;43
Hyla faber;6;AF;30;43.5
Hyla faber;6;AF;30;44
Hyla faber;6;AF;30;42
Hyla faber;6;AF;30;41
Hyla faber;6;AF;30;43.5
Hyla faber;6;AF;30;43.5
Hyla faber;6;AF;30;43.5
Hyla faber;6;AF;30;44
Hyla faber;7;AF;20;43
Hyla faber;7;AF;20;42.5
Hyla faber;7;AF;20;43
Hyla faber;7;AF;20;42
Hyla faber;7;AF;20;42.5
Hyla faber;7;AF;20;43
