Fish,UqRep,Treatment,Family,TestingT,Date,Time,W,SL,Sex,StartT,CTM,Video,Stimdist,Stimdirect,StimdirectR,LatencyMS,Response,DuratMS,Dist,VeloMS,MaxVeloMS,EndDirect,EndDirectR
G3d11,G:3d:1,3d,G,28.5,30.03.17,13:50:00,2.059,38.8,F,,,331,92.978,95.961,1.674835162,650,Cstart,22.91740445,25.756,1.123862,2.077816,61.528,1.073866027
G30d2a,G:30d:2,30d,G,30.5,30.03.17,16:45:00,1.392,33,F,,,332,88.662,266.464,4.650673467,20.83333333,Cstart,10.41760065,13.896,1.3338964,1.953446,216.87,3.785095002
G7d21,G:7d:2,7d,G,28.5,30.03.17,17:00:00,1.526,34.72,F,,,333,52.125,110.45,1.927715881,127.0833333,Cstart,12.50150573,12.108,0.968523333,1.452785,95.377,1.66464244
G3d21,G:3d:2,3d,G,28.5,30.03.17,17:40:00,2.123,37.2,M,,,335,77.102,61.636,1.075750982,18.75,Cstart,18.75060184,27.975,1.491952111,2.054548,351.674,6.137868307
GC1a,G:C:1,C,G,30.5,31.03.17,10:20:00,1.906,35.4,F,,,337,104.594,303.085,5.2898304,14.58333333,Cstart,20.83417674,33.76,1.6204144,1.965892,265.914,4.641074157
G7d11,G:7d:1,7d,G,28.5,31.03.17,12:05:00,2.039,37.32,M,,,340,107.515,86.561,1.510774236,18.75,Cstart,20.83479538,32.776,1.5731376,2.054548,352.147,6.146123714
G7d2a,G:7d:2,7d,G,30.5,31.03.17,12:40:00,1.406,32.16,F,,,341,97.626,316.309,5.520632707,14.58333333,Cstart,10.41690433,12.784,1.227236,1.965892,265.818,4.639398641
GH31,G:H:3,H,G,28.5,31.03.17,13:15:00,1.456,32.5,F,,,342,99.869,61.049,1.065505901,14.58333333,Cstart,18.74963878,23.25,1.240023889,2.016105,77.648,1.355213062
G7d3a,G:7d:3,7d,G,30.5,31.03.17,16:05:00,2.807,41.7,M,,,344,80.56,15.499,0.270508542,14.58333333,Cstart,12.49978764,19.621,1.569706667,2.076545,284.534,4.966054417
G3d31,G:3d:3,3d,G,28.5,31.03.17,16:20:00,1.623,34,M,,,345,80.457,25.533,0.445634854,14.58333333,Cstart,12.50001646,22.149,1.771917667,3.285316,339.444,5.924414571
GH3a,G:H:3,H,G,30.5,31.03.17,16:40:00,1.81,34.28,F,,,346,124.77,280.901,4.902646614,18.75,Cstart,12.4992474,14.705,1.176470833,1.411765,240.709,4.201163983
GH2a,G:H:2,H,G,30.5,01.04.17,9:05:00,1.708,34.18,F,,,348,96.91,357.368,6.237247341,16.66666667,Cstart,14.58294733,21.723,1.489616571,2.03606,279.208,4.873098194
G30d11,G:30d:1,30d,G,28.5,01.04.17,9:40:00,1.675,35.1,F,,,349,75.141,344.291,6.009010667,14.58333333,Cstart,14.58279458,22.5,1.542914143,3.156802,271.975,4.746858548
GC32,G:C:3,C,G,28.5,01.04.17,14:10:00,1.73,35,F,,,350,103.767,64.622,1.127866506,16.66666667,Cstart,10.41648789,13.11,1.2585816,2.016105,91.755,1.601426624
G7d1a,G:7d:1,7d,G,30.5,01.04.17,14:30:00,2.163,37.54,F,,,352,100.922,81.216,1.417486401,6.25,Other,,,,,,
GH21,G:H:2,H,G,28.5,01.04.17,14:50:00,1.993,36,M,,,353,98.101,90.298,1.57599718,16.66666667,Cstart,14.58172085,18.915,1.297172,2.057038,117.072,2.043291567
GH22,G:H:2,H,G,28.5,02.04.17,8:55:00,1.996,36.26,F,,,355,124.579,315.442,5.505500704,37.5,Cstart,31.24889462,42.758,1.3683044,2.96846,54.673,0.954223724
G30d2b,G:30d:2,30d,G,30.5,02.04.17,11:30:00,1.531,34,F,,,356,105.241,17.283,0.301645211,20.83333333,Cstart,20.83128012,22.236,1.0674332,2.03606,74,1.29154346
GC33,G:C:3,C,G,28.5,02.04.17,11:00:00,2.242,38.4,M,,,356,133.247,98.494,1.719044345,16.66666667,Cstart,12.49966913,14.482,1.158590667,2.03606,82.589,1.441449768
G3d12,G:3d:1,3d,G,28.5,02.04.17,12:10:00,2.146,36.28,M,,,358,75.307,60.544,1.05669199,14.58333333,Cstart,29.16710808,35.654,1.222404357,3.066608,114.331,1.995452099
GC2a,G:C:2,C,G,30.5,02.04.17,12:20:00,1.747,34.6,F,,,359,91.194,104.432,1.822681981,468.75,Cstart,29.16914672,12.276,0.420855643,1.963993,79.114,1.380799585
